decisionGeneration;totalSimulationHours;animalType;animalId;fitness;hp;hunger;thirst;hungerWeight;thirstWeight;fearWeight;hideSeekingWeight;riskTolerance;explorationWeight;speed;maxStamina;currentStamina;sightRange;tempResist;hungerDecreasingSpeed;thirstDecreasingSpeed;breedingCooldownMultiplyer;fertility;swimAbility;eatNeed;fatSave;childrenCount;timeAliveInGeneration;timeSpentHiding;timesEnteredShelter;predatorEncounters;totalFoodForPrey;totalFoodForPredator
24;25,8738;Prey;9;101,2519;100,0000;0,7921;0,2881;0,0000;0,0000;0,5549;1,0000;0,0259;0,9363;4,1672;1,3651;1,3651;7;2,3777;0,6630;0,5769;1,1055;6,0000;0,4883;0,3568;0,5842;0;12,5190;0,0000;0;0;341;29
25;26,8745;Prey;4;101,2508;100,0000;0,5006;0,9300;0,0000;0,0000;0,7474;1,0000;0,0073;0,4629;4,2286;2,7067;2,7067;10;3,3767;0,7213;0,6198;0,8556;6,0000;0,3216;0,4261;0,5435;0;12,5084;0,0000;0;0;340;28
26;27,9232;Prey;4;101,3109;100,0000;0,4462;0,9029;0,0000;0,0000;0,7474;1,0000;0,0073;0,4629;4,2286;2,7067;2,7067;10;3,3767;0,7213;0,6198;0,8556;6,0000;0,3216;0,4261;0,5435;0;13,1087;0,0000;0;0;338;28
27;28,9594;Prey;4;101,2953;100,0000;0,3925;0,8761;0,0000;0,0000;0,7474;1,0000;0,0073;0,4629;4,2286;2,7067;2,7067;10;3,3767;0,7213;0,6198;0,8556;6,0000;0,3216;0,4261;0,5435;0;12,9526;0,0000;0;0;338;28
28;29,9764;Prey;0;101,2713;100,0000;0,3157;0,7269;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;0,8953;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,7127;0,0000;0;0;336;28
29;30,9976;Prey;0;101,2764;100,0000;0,2698;0,6950;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;1,8045;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,7644;0,0000;0;0;335;28
30;32,0160;Prey;0;101,2730;100,0000;0,9714;0,6631;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,7300;0,0000;0;0;332;28
31;33,0236;Prey;0;101,2595;100,0000;0,9269;0,6316;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,5954;0,0000;0;0;331;27
32;34,1324;Prey;0;101,3860;100,0000;0,8800;0,5969;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;13,8603;0,0000;0;0;328;26
33;35,2173;Prey;0;101,3561;100,0000;0,8324;0,5629;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;13,5609;0,0000;0;0;327;26
34;36,2450;Prey;0;101,2846;100,0000;0,7885;0,5308;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,8465;0,0000;0;0;324;24
35;37,2991;Prey;0;101,3177;100,0000;0,7416;0,4978;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;13,1767;0,0000;0;0;324;24
36;38,3590;Prey;0;101,3248;100,0000;0,6950;0,4646;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;13,2482;0,0000;0;0;324;24
37;39,4388;Prey;0;101,3497;100,0000;0,6437;0,4308;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;1,6128;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;13,4971;0,0000;0;0;324;24
38;40,4502;Prey;0;101,2643;100,0000;0,5869;0,3992;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;0,5809;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,6429;0,0000;0;0;319;24
39;41,4882;Prey;0;101,2975;100,0000;0,5388;0,3667;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;1,8784;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,9746;0,0000;0;0;319;23
40;42,4909;Prey;0;101,2534;100,0000;0,4926;0,3353;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,5340;0,0000;0;0;318;22
41;43,5562;Prey;0;101,3316;100,0000;0,4433;0,3020;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;13,3164;0,0000;0;0;316;22
42;44,5710;Prey;0;101,2685;100,0000;0,3935;0,2702;0,0000;0,0000;0,2305;0,6421;0,0150;0,0000;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,6849;0,0000;0;0;314;21
43;45,5847;Prey;1;311,2671;100,0000;0,9601;0,6343;0,0000;0,0000;0,5391;0,7332;0,0000;0,0412;3,0090;2,4330;2,4330;10;2,6539;0,7125;0,9783;1,1245;7,0000;0,5632;0,4940;0,7924;7;12,6710;0,0000;0;0;312;27
44;46,6059;Prey;17;281,2765;100,0000;0,3342;0,8053;0,0000;0,0000;0,1578;0,7424;0,0080;0,4498;2,8835;1,4135;1,4135;7;1,8752;0,7750;0,8822;0,6529;6,0000;0,3808;0,3216;0,8489;6;12,7650;0,0000;0;0;312;31
45;47,6233;Prey;19;245,2989;100,0000;0,6490;0,9404;0,8455;0,0354;0,1706;0,7430;0,0176;0,2214;2,6288;1,6820;1,6820;7;3,9976;0,6598;0,7367;0,5588;5,0000;0,4465;0,5536;0,6882;5;12,7170;0,0000;0;0;312;36
46;48,6979;Prey;9;101,1421;100,0000;0,5777;0,4509;0,0000;0,0000;0,2004;0,7410;0,0240;0,0000;4,1672;1,3651;1,3651;7;2,3777;0,6630;0,5769;1,1055;6,0000;0,4883;0,3568;0,5842;0;13,4325;0,0000;0;0;352;36
47;49,7185;Prey;7;202,4147;82,6750;0,7058;0,5794;0,0000;0,0000;0,4002;0,7290;0,0000;0,0040;2,2213;2,1545;2,1545;9;4,6198;0,5704;0,9044;1,0937;4,0000;0,5857;0,4235;0,8852;4;12,7577;0,0000;0;0;350;40
48;50,7928;Prey;33;100,6212;100,0000;0,7826;0,2826;0,0000;0,0000;0,1458;0,6766;0,0015;0,1927;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,4284;0,0000;0;0;349;39
49;51,8112;Prey;33;309,0157;100,0000;0,7426;0,2531;0,0000;0,0000;0,1458;0,6766;0,0015;0,1927;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;7;12,7311;0,0000;0;0;349;52
50;52,9008;Prey;62;99,1383;100,0000;0,9337;0,9519;0,4451;0,2723;0,0748;0,6711;0,0005;0,1689;2,3981;0,9561;0,7949;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;13,6197;0,0000;0;0;348;51
51;53,9239;Prey;62;99,1958;100,0000;0,8973;0,9903;0,4451;0,2723;0,0748;0,6711;0,0005;0,1689;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,7889;0,0000;0;0;345;48
52;54,9500;Prey;44;98,9457;100,0000;0,4833;0,9750;0,0000;0,0258;0,1075;0,6066;0,0054;0,0000;3,7998;1,1833;1,1833;10;3,3737;0,6983;0,9550;0,5788;6,6235;0,5705;0,5116;0,8488;0;12,8261;0,0000;0;0;345;48
