decisionGeneration;totalSimulationHours;animalType;animalId;fitness;hp;hunger;thirst;hungerWeight;thirstWeight;aggressionWeight;timeFollowingWeight;speed;maxStamina;currentStamina;sightRange;tempResist;hungerDecreasingSpeed;thirstDecreasingSpeed;breedingCooldownMultiplyer;fertility;swimAbility;eatNeed;fatSave;childrenCount;timeAliveInGeneration;successfulHunts;abandonedChases;timeSpentFollowing;totalFoodForPrey;totalFoodForPredator
41;43,5562;Predator;0;98,1178;100,0000;0,6472;0,5432;0,0000;0,0000;0,0160;0,7720;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;13,3164;0;0;0,0000;316;22
42;44,5710;Predator;2;98,1222;100,0000;0,3523;0,3584;0,0000;0,0000;0,0494;0,7561;3,0920;1,1382;1,1382;7;4,9094;0,9214;0,6631;1,1335;2,0000;0,4750;0,5885;0,9202;0;12,6849;0;0;0,0000;314;21
43;45,5847;Predator;8;115,0789;95,4722;0,9838;0,8323;0,0000;1,0000;0,0503;0,7670;3,0840;1,9290;0,2204;9;2,6605;0,6349;0,8488;0,6334;2,0000;0,4934;0,4867;0,7140;0;12,6710;1;0;6,9368;312;27
44;46,6059;Predator;4;101,2765;100,0000;0,6764;0,6394;0,0000;0,0000;0,0415;0,6431;2,7272;2,3380;2,3380;6;2,1520;0,9283;0,5294;0,9720;2,0000;0,2542;0,5288;0,9189;0;12,7650;0;0;0,0000;312;31
45;47,6233;Predator;4;101,2717;100,0000;0,6022;0,6169;0,0000;0,0000;0,0415;0,6431;2,7272;2,3380;2,3380;6;2,1520;0,9283;0,5294;0,9720;2,0000;0,2542;0,5288;0,9189;0;12,7170;0;0;0,0000;312;36
46;48,6979;Predator;4;101,3432;100,0000;0,5322;0,5932;0,0000;0,0000;0,0415;0,6431;2,7272;2,3380;2,3380;6;2,1520;0,9283;0,5294;0,9720;2,0000;0,2542;0,5288;0,9189;0;13,4325;0;0;0,0000;352;36
47;49,7185;Predator;9;181,0869;89,4305;0,2466;0,3798;0,0000;1,0000;0,0005;0,7463;3,9802;2,2813;1,1737;5;0,6114;0,8178;0,5760;0,7207;3,0000;0,4875;0,5356;0,6998;3;12,7577;0;0;7,3842;350;40
48;50,7928;Predator;2;113,8168;95,2213;0,9804;0,9173;0,0000;0,7645;0,0003;0,6650;3,0920;1,1382;0,2387;7;4,9094;0,9214;0,6631;1,1335;2,0000;0,4750;0,5885;0,9202;0;13,4284;1;1;4,9448;349;39
49;51,8112;Predator;4;101,2731;100,0000;0,3298;0,5245;0,0000;0,0000;0,0415;0,6431;2,7272;2,3380;2,3380;6;2,1520;0,9283;0,5294;0,9720;2,0000;0,2542;0,5288;0,9189;0;12,7311;0;0;0,0000;349;52
50;52,9008;Predator;0;111,6458;100,0000;1,0000;0,3159;1,0000;0,4861;0,0025;0,6852;3,3398;1,5546;0,0000;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;13,6197;1;1;10,2146;348;51
51;53,9239;Predator;4;117,8447;100,0000;0,9922;0,4779;1,0000;0,0000;0,0427;0,6467;2,7272;2,3380;0,0638;6;2,1520;0,9283;0,5294;0,9720;2,0000;0,2542;0,5288;0,9189;0;12,7889;1;1;11,0591;345;48
52;54,9500;Predator;0;101,2826;100,0000;0,8817;0,9887;0,0000;0,0000;0,0134;0,7824;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,8261;0;0;0,0000;345;48
53;55,9624;Predator;0;101,2655;100,0000;0,8238;0,9641;0,0000;0,0000;0,0134;0,7824;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,6553;0;0;0,0000;342;54
54;56,9819;Predator;1;175,6747;76,6265;0,2905;0,5900;0,4061;0,3345;0,0032;0,6448;4,4737;1,4669;1,3863;6;0,7688;0,9910;0,7542;1,0717;3,0000;0,5967;0,3228;0,8535;3;12,7439;0;0;0,5377;342;53
55;58,0032;Predator;0;101,2766;100,0000;0,7003;0,9144;0,0000;0,0000;0,0134;0,7824;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,7655;0;0;0,0000;340;51
56;59,0273;Predator;0;101,2802;100,0000;0,6240;0,8895;0,0000;0,0000;0,0134;0,7824;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,8017;0;0;0,0000;339;51
57;60,0619;Predator;0;101,2932;100,0000;0,5496;0,8644;0,0000;0,0000;0,0134;0,7824;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,9320;0;0;0,0000;338;51
58;61,0668;Predator;0;101,2561;100,0000;0,4894;0,8399;0,0000;0,0000;0,0134;0,7824;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,5611;0;0;0,0000;338;51
59;62,0777;Predator;2;113,7399;95,2213;0,9873;0,6055;0,2298;0,7284;0,0282;0,3711;3,0920;1,1382;0,3364;7;4,9094;0,9214;0,6631;1,1335;2,0000;0,4750;0,5885;0,9202;0;12,6366;1;0;6,5148;338;50
60;63,1122;Predator;0;101,2932;100,0000;0,3687;0,7902;0,0000;0,0000;0,0134;0,7824;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,9317;0;0;0,0000;336;49
61;64,1302;Predator;0;101,2725;100,0000;0,3090;0,7654;0,0000;0,0000;0,0134;0,7824;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,7254;0;0;0,0000;334;49
62;65,1454;Predator;4;124,2973;100,0000;0,9436;0,9612;0,0000;0,4351;0,0119;0,5228;2,7272;2,3380;1,0107;6;2,1520;0,9283;0,5294;0,9720;2,0000;0,2542;0,5288;0,9189;0;12,6900;1;0;3,9407;331;47
63;66,1576;Predator;8;104,9836;87,7560;0,9653;0,8232;0,0000;0,7618;0,0116;0,4679;3,0840;1,9290;0,7063;9;2,6605;0,6349;0,8488;0,6334;2,0000;0,4934;0,4867;0,7140;0;12,6513;1;1;2,7784;331;46
64;67,1700;Predator;0;125,1572;100,0000;0,9345;0,6915;0,0000;0,0169;0,0000;0,8400;3,3398;1,5546;0,8801;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,6557;1;0;0,0000;330;44
65;68,1706;Predator;5;100,0050;100,0000;0,3131;0,3436;0,0000;0,0000;0,0264;0,6478;3,8899;1,7092;1,7092;6;3,0761;0,6997;0,6988;0,9110;2,0000;0,2062;0,3824;0,7737;0;12,5076;0;0;0,0000;330;43
66;69,1737;Predator;7;174,5372;73,9527;0,6687;0,5499;0,3298;0,0000;0,0416;0,7912;2,2687;2,3270;2,3270;7;1,2945;0,7052;0,6638;0,5825;3,0000;0,4756;0,3794;0,9582;3;12,5382;0;0;0,0000;330;43
67;70,1949;Predator;0;98,1875;100,0000;0,7075;0,6179;0,0000;0,0169;0,0000;0,8400;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,7648;0;0;0,0000;329;43
68;71,2071;Predator;5;114,4654;100,0000;1,0000;0,9643;0,8432;0,4918;0,0342;0,5707;3,8899;1,7092;0,0000;6;3,0761;0,6997;0,6988;0,9110;2,0000;0,2062;0,3824;0,7737;0;12,6527;1;1;11,0042;326;42
69;72,2293;Predator;17;98,0388;100,0000;0,6828;0,9016;0,0497;0,0000;0,0417;0,6389;2,1853;1,3718;1,3718;6;0,0578;0,7797;0,5816;0,5966;3,0757;0,3820;0,5966;0,5693;0;12,7779;0;0;0,0000;349;41
70;73,2481;Predator;2;105,8309;95,2213;0,9939;0,2980;0,3225;0,6717;0,0300;0,6624;3,0920;1,1382;0,0524;7;4,9094;0,9214;0,6631;1,1335;2,0000;0,4750;0,5885;0,9202;0;12,7348;1;0;10,2530;349;40
71;74,2854;Predator;17;97,2093;100,0000;0,5516;0,8518;0,0497;0,0000;0,0417;0,6389;2,1853;1,3718;1,3718;6;0,0578;0,7797;0,5816;0,5966;3,0757;0,3820;0,5966;0,5693;0;12,9669;0;0;0,0000;348;37
72;75,3004;Predator;4;109,2098;100,0000;0,9592;0,7372;0,1807;0,4773;0,0243;0,4486;2,7272;2,3380;0,6677;6;2,1520;0,9283;0,5294;0,9720;2,0000;0,2542;0,5288;0,9189;0;12,6873;1;1;4,8135;345;36
73;76,3357;Predator;0;120,0384;100,0000;0,9545;0,4685;0,0000;0,0169;0,0000;0,8400;3,3398;1,5546;1,1323;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,9410;1;0;4,7494;343;35
74;77,3590;Predator;19;96,4814;100,0000;0,9487;0,9762;0,0000;1,0000;0,0000;0,7629;2,9216;1,2144;1,2144;9;3,7021;0,7296;0,6889;1,1342;2,0166;0,3979;0,6101;0,8741;0;10,3558;0;0;0,0000;343;34
75;78,3821;Predator;17;96,2671;100,0000;0,8817;0,7526;0,0497;0,0000;0,0417;0,6389;2,1853;1,3718;1,3718;6;0,0578;0,7797;0,5816;0,5966;3,0757;0,3820;0,5966;0,5693;0;12,7877;0;0;0,0000;343;34
76;79,4133;Predator;8;106,7284;87,7560;0,9628;0,3567;0,1922;0,0000;0,0116;0,7742;3,0840;1,9290;1,4808;9;2,6605;0,6349;0,8488;0,6334;2,0000;0,4934;0,4867;0,7140;0;12,8911;1;0;4,5920;341;33
77;80,4311;Predator;17;95,7447;100,0000;0,7593;0,9663;0,0497;0,0000;0,0417;0,6389;2,1853;1,3718;1,3718;6;0,0578;0,7797;0,5816;0,5966;3,0757;0,3820;0,5966;0,5693;0;12,7218;0;0;0,0000;341;30
78;81,4356;Predator;17;95,5098;100,0000;0,7055;0,9420;0,0497;0,0000;0,0417;0,6389;2,1853;1,3718;1,3718;6;0,0578;0,7797;0,5816;0,5966;3,0757;0,3820;0,5966;0,5693;0;12,5561;0;0;0,0000;339;29
79;82,4474;Predator;17;95,4750;100,0000;0,6466;0,9174;0,0497;0,0000;0,0417;0,6389;2,1853;1,3718;1,3718;6;0,0578;0,7797;0,5816;0,5966;3,0757;0,3820;0,5966;0,5693;0;12,6483;0;0;0,0000;337;29
80;83,4517;Predator;2;114,2316;95,2213;0,9584;0,7385;0,0000;0,0000;0,0000;0,8285;3,0920;1,1382;0,5945;7;4,9094;0,9214;0,6631;1,1335;2,0000;0,4750;0,5885;0,9202;0;12,5523;1;0;4,9224;335;27
81;84,4586;Predator;17;95,0259;100,0000;0,5307;0,8687;0,0497;0,0000;0,0417;0,6389;2,1853;1,3718;1,3718;6;0,0578;0,7797;0,5816;0,5966;3,0757;0,3820;0,5966;0,5693;0;12,5864;0;0;0,0000;334;27
82;85,4934;Predator;5;113,1275;100,0000;0,9609;0,5483;1,0000;0,0000;0,1691;0,7067;3,8899;1,7092;0,7964;6;3,0761;0,6997;0,6988;0,9110;2,0000;0,2062;0,3824;0,7737;0;12,9358;1;1;2,6746;334;26
83;86,5143;Predator;17;94,7774;100,0000;0,4132;0,8189;0,0497;0,0000;0,0417;0,6389;2,1853;1,3718;1,3718;6;0,0578;0,7797;0,5816;0,5966;3,0757;0,3820;0,5966;0,5693;0;12,7611;0;0;0,0000;332;26
84;87,5528;Predator;19;96,2772;100,0000;0,5470;0,6836;0,0000;0,0000;0,0000;0,8201;2,9216;1,2144;1,2144;9;3,7021;0,7296;0,6889;1,1342;2,0166;0,3979;0,6101;0,8741;0;12,9806;0;0;0,0000;329;26
85;88,5542;Predator;19;96,2309;100,0000;0,4838;0,6549;0,0000;0,0000;0,0000;0,8201;2,9216;1,2144;1,2144;9;3,7021;0,7296;0,6889;1,1342;2,0166;0,3979;0,6101;0,8741;0;12,5169;0;0;0,0000;329;26
86;89,5543;Predator;5;160,3753;100,0000;0,7340;0,4300;1,0000;0,0000;0,1691;0,7067;3,8899;1,7092;1,7092;6;3,0761;0,6997;0,6988;0,9110;2,0000;0,2062;0,3824;0,7737;2;12,5013;0;0;0,0000;329;28
87;90,5548;Predator;19;97,0888;100,0000;0,3614;0,5975;0,0000;0,0000;0,0000;0,8201;2,9216;1,2144;1,2144;9;3,7021;0,7296;0,6889;1,1342;2,0166;0,3979;0,6101;0,8741;0;12,5044;0;0;0,0000;329;35
88;91,5563;Predator;8;106,2281;87,7560;0,9678;0,6353;0,0000;0,0000;0,0000;0,7218;3,0840;1,9290;1,7092;9;2,6605;0,6349;0,8488;0,6334;2,0000;0,4934;0,4867;0,7140;0;12,5184;1;0;4,9021;329;32
89;92,5717;Predator;2;105,0711;95,2213;0,9252;0,4865;0,1854;1,0000;0,0771;0,5718;3,0920;1,1382;1,1382;7;4,9094;0,9214;0,6631;1,1335;2,0000;0,4750;0,5885;0,9202;0;12,6925;1;0;1,2638;328;31
90;93,5790;Predator;19;96,5605;100,0000;0,1681;0,5106;0,0000;0,0000;0,0000;0,8201;2,9216;1,2144;1,2144;9;3,7021;0,7296;0,6889;1,1342;2,0166;0,3979;0,6101;0,8741;0;12,5910;0;0;0,0000;327;31
91;94,6206;Predator;19;97,4089;100,0000;0,0991;0,4807;0,0000;0,0000;0,0000;0,8201;2,9216;1,2144;1,2144;9;3,7021;0,7296;0,6889;1,1342;2,0166;0,3979;0,6101;0,8741;0;13,0203;0;0;0,0000;326;37
92;95,6449;Predator;19;97,3872;100,0000;0,0293;0,4513;0,0000;0,0000;0,0000;0,8201;2,9216;1,2144;1,2144;9;3,7021;0,7296;0,6889;1,1342;2,0166;0,3979;0,6101;0,8741;0;12,8035;0;0;0,0000;326;37
93;96,7189;Predator;17;96,2936;100,0000;0,5317;0,5716;0,0497;0,0000;0,0417;0,6389;2,1853;1,3718;1,3718;6;0,0578;0,7797;0,5816;0,5966;3,0757;0,3820;0,5966;0,5693;0;13,4258;0;0;0,0000;336;37
94;97,7696;Predator;17;96,2098;100,0000;0,4587;0,5462;0,0497;0,0000;0,0417;0,6389;2,1853;1,3718;1,3718;6;0,0578;0,7797;0,5816;0,5966;3,0757;0,3820;0,5966;0,5693;0;13,1328;0;0;0,0000;333;37
95;98,7735;Predator;17;96,1000;100,0000;0,3898;0,5218;0,0497;0,0000;0,0417;0,6389;2,1853;1,3718;1,3718;6;0,0578;0,7797;0,5816;0,5966;3,0757;0,3820;0,5966;0,5693;0;12,5490;0;0;0,0000;333;37
96;99,7908;Predator;18;101,0754;98,6232;0,9535;0,2843;0,9153;0,8028;0,0398;0,8063;2,3243;2,6911;1,5025;7;4,7526;0,8425;0,8279;0,5855;1,6819;0,4222;0,5997;0,3809;0;12,7167;1;0;4,6140;331;36
